127.0.0.1 | 2026-04-16 15:08:35 | /index.html | 200
127.0.0.1 | 2026-04-16 15:08:35 | /favicon.ico | 404
127.0.0.1 | 2026-04-16 15:08:44 | /test.html | 200
127.0.0.1 | 2026-04-16 15:08:57 | /nothing.html | 404
127.0.0.1 | 2026-04-16 15:09:07 | /photo.jpg | 200
127.0.0.1 | 2026-04-16 16:33:25 | /test.html | 200
127.0.0.1 | 2026-04-16 16:33:54 | /nothing.html | 404
127.0.0.1 | 2026-04-16 16:34:10 | /test.html | 200
127.0.0.1 | 2026-04-16 16:38:44 | /test.html | 200
127.0.0.1 | 2026-04-16 16:42:53 | /test.html | 200
127.0.0.1 | 2026-04-16 16:43:10 | /test_keepalive.html | 200
127.0.0.1 | 2026-04-16 16:43:10 | /photo.jpg | 200
127.0.0.1 | 2026-04-16 16:47:44 | /test.html | 200
127.0.0.1 | 2026-04-16 16:47:53 | /test.html | 200
127.0.0.1 | 2026-04-16 16:50:59 | /test.html | 200
127.0.0.1 | 2026-04-16 16:51:25 | /test.html | 304
127.0.0.1 | 2026-04-17 13:01:19 | /photo.jpg | 200
127.0.0.1 | 2026-04-17 13:01:19 | /favicon.ico | 404
127.0.0.1 | 2026-04-17 13:01:21 | /test.html | 200
127.0.0.1 | 2026-04-17 13:06:54 | /index.html | 200
127.0.0.1 | 2026-04-17 13:09:41 | /test.html | 200
127.0.0.1 | 2026-04-17 13:16:16 | /test.html | 200
127.0.0.1 | 2026-04-17 13:19:46 | /notexist.html | 404
127.0.0.1 | 2026-04-17 13:20:31 | /test.html | 200
127.0.0.1 | 2026-04-17 13:21:10 | /test.html | 304
127.0.0.1 | 2026-04-17 13:22:15 | /unknown | 400
127.0.0.1 | 2026-04-17 13:22:47 | /test.html | 200
127.0.0.1 | 2026-04-17 13:23:47 | /index.html | 200
127.0.0.1 | 2026-04-17 13:26:32 | /test.html | 200
127.0.0.1 | 2026-04-17 13:28:41 | /test.html | 200
127.0.0.1 | 2026-04-17 13:28:46 | /test.html | 200
127.0.0.1 | 2026-04-17 13:36:18 | /test.html | 200
127.0.0.1 | 2026-04-17 13:39:30 | /../test.html | 403
127.0.0.1 | 2026-04-17 13:40:11 | /test.html | 200
127.0.0.1 | 2026-04-17 13:41:26 | /test.html | 200
